names,cid_avg,cid_com
Name,1,4
Name,1,4
Name,1,4
Name,1,4
Name,1,4
Name,10,3
Name,1,4
Name,10,3
Name,1,4
Name,10,3
Name,1,4
Name,10,3
Name,1,4
Name,10,3
Name,14,12
Name,10,3
Name,1,4
Name,14,12
Name,14,12
Name,14,12
Name,10,3
Name,14,12
Name,2,10
Name,14,12
Name,10,3
Name,17,16
Name,2,10
Name,0,13
Name,17,16
Name,2,10
Name,15,11
Name,14,12
Name,1,4
Name,0,13
Name,10,3
Name,17,16
Name,2,10
Name,15,11
Name,14,12
Name,1,4
Name,0,13
Name,10,3
Name,17,16
Name,2,10
Name,14,12
Name,4,9
Name,15,11
Name,1,4
Name,0,13
Name,10,3
Name,4,9
Name,17,16
Name,2,10
Name,15,11
Name,14,12
Name,1,4
Name,0,13
Name,10,3
Name,4,9
Name,17,16
Name,2,10
Name,15,11
Name,14,12
Name,0,13
Name,1,4
Name,10,3
Name,4,9
Name,17,16
Name,2,10
Name,15,11
Name,14,12
Name,4,9
Name,0,13
Name,17,16
Name,15,11
Name,2,10
Name,1,4
Name,10,3
Name,0,13
Name,14,12
Name,4,9
Name,17,16
Name,15,11
Name,2,10
Name,10,3
Name,1,4
Name,14,12
Name,0,13
Name,17,16
Name,4,9
Name,15,11
Name,10,3
Name,0,13
Name,2,10
Name,4,9
Name,14,12
Name,1,4
Name,17,16
Name,15,11
Name,2,10
Name,0,13
Name,4,9
Name,17,16
Name,10,3
Name,15,11
Name,9,1
Name,17,16
Name,14,12
Name,9,1
Name,2,10
Name,0,15
Name,9,1
Name,0,15
Name,4,9
Name,9,1
Name,0,13
Name,1,4
Name,0,15
Name,10,3
Name,2,10
Name,9,1
Name,4,9
Name,15,11
Name,0,15
Name,14,12
Name,17,16
Name,0,13
Name,9,1
Name,0,15
Name,2,10
Name,6,0
Name,0,13
Name,4,9
Name,15,11
Name,10,3
Name,9,1
Name,17,16
Name,0,15
Name,2,10
Name,1,4
Name,14,12
Name,6,0
Name,0,13
Name,9,1
Name,15,11
Name,0,15
Name,6,0
Name,4,9
Name,14,12
Name,6,0
Name,17,16
Name,0,13
Name,2,10
Name,10,3
Name,1,4
Name,9,1
Name,15,11
Name,0,15
Name,4,9
Name,14,12
Name,6,0
Name,17,16
Name,10,3
Name,0,13
Name,9,1
Name,2,10
Name,15,11
Name,0,15
Name,6,0
Name,9,1
Name,4,9
Name,6,0
Name,14,12
Name,10,3
Name,0,15
Name,1,4
Name,17,16
Name,0,13
Name,2,10
Name,15,11
Name,9,1
Name,4,9
Name,6,0
Name,14,12
Name,10,3
Name,0,15
Name,1,4
Name,17,16
Name,0,13
Name,2,10
Name,15,11
Name,10,3
Name,0,15
Name,1,4
Name,17,16
Name,9,1
Name,4,9
Name,0,13
Name,2,10
Name,14,12
Name,10,3
Name,1,4
Name,0,15
Name,15,11
Name,6,0
Name,9,1
Name,17,16
Name,5,6
Name,5,6
Name,0,15
Name,6,0
Name,3,2
Name,4,9
Name,2,10
Name,10,3
Name,0,13
Name,5,6
Name,0,15
Name,15,11
Name,14,12
Name,3,2
Name,9,1
Name,6,0
Name,1,4
Name,10,3
Name,17,16
Name,4,9
Name,2,10
Name,0,13
Name,5,6
Name,0,15
Name,15,11
Name,14,12
Name,3,2
Name,6,0
Name,17,16
Name,0,13
Name,1,4
Name,9,1
Name,10,3
Name,5,6
Name,4,9
Name,2,10
Name,5,6
Name,0,15
Name,15,11
Name,14,12
Name,3,2
Name,6,0
Name,17,16
Name,0,13
Name,1,4
Name,11,8
Name,3,2
Name,9,1
Name,10,3
Name,4,9
Name,2,10
Name,5,6
Name,0,15
Name,14,12
Name,15,11
Name,11,8
Name,6,0
Name,17,16
Name,3,2
Name,10,3
Name,0,13
Name,4,9
Name,1,4
Name,9,1
Name,5,6
Name,2,10
Name,0,15
Name,14,12
Name,15,11
Name,11,8
Name,6,0
Name,17,16
Name,10,3
Name,0,13
Name,3,2
Name,4,9
Name,1,4
Name,9,1
Name,5,6
Name,2,10
Name,0,15
Name,14,12
Name,3,2
Name,5,6
Name,11,8
Name,2,10
Name,15,11
Name,9,1
Name,6,0
Name,17,16
Name,0,13
Name,1,4
Name,10,3
Name,1,4
Name,5,6
Name,0,15
Name,3,2
Name,11,8
Name,4,9
Name,16,0
Name,7,17
Name,14,12
Name,6,0
Name,2,10
Name,17,16
Name,15,11
Name,9,1
Name,0,13
Name,1,4
Name,0,15
Name,16,0
Name,3,2
Name,10,3
Name,5,6
Name,4,9
Name,11,8
Name,7,17
Name,6,0
Name,1,4
Name,15,11
Name,14,12
Name,1,4
Name,17,16
Name,0,15
Name,16,0
Name,3,2
Name,11,8
Name,7,17
Name,10,3
Name,5,6
Name,9,1
Name,3,2
Name,6,0
Name,2,10
Name,0,13
Name,13,14
Name,4,9
Name,1,4
Name,15,11
Name,16,0
Name,14,12
Name,1,4
Name,0,15
Name,17,16
Name,7,17
Name,13,14
Name,8,5
Name,11,8
Name,2,1
Name,12,7
Name,5,6
Name,10,3
Name,3,2
Name,9,1
Name,6,0
Name,2,10
Name,0,13
Name,1,4
Name,4,9
Name,15,11
Name,16,0
Name,14,12
Name,1,4
Name,0,15
Name,17,16
Name,7,17
Name,13,14
Name,8,5
Name,11,8
Name,2,1
Name,12,7
Name,5,6
Name,10,3
Name,3,2
Name,9,1
Name,6,0
Name,0,13
Name,1,4
Name,2,10
Name,4,9
Name,16,0
Name,15,11
Name,14,12
Name,0,15
Name,1,4
Name,17,16
Name,7,17
Name,8,5
Name,13,14
Name,12,7
Name,11,8
Name,5,6
Name,2,1
Name,10,3
Name,4,9
Name,3,2
Name,9,1
Name,6,0
